"transition-colors href","hidden","md:hidden","hidden 2","md:inline","group-hover:text-muted-foreground","text-inherit","text-inherit href","hidden 3","flex 2","flex 3","hidden 4","flex 4","group-hover:text-muted-foreground 2"
"https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct:free","Qwen: Qwen3 Next 80B A3B Instruct (free)","Qwen3 Next 80B A3B Instruct (free)","Free variant","933M tokens","Qwen3-Next-80B-A3B-Instruct is an instruction-tuned chat model in the Qwen3-Next series optimized for fast, stable responses without “thinking” traces. It targets complex tasks across reasoning, code generation, knowledge QA, and multilingual use, while remaining robust on alignment and formatting. Compared with prior Qwen3 instruct variants, it focuses on higher throughput and stability on ultra-long inputs and multi-turn dialogues, making it well-suited for RAG, tool use, and agentic workflows that require consistent final answers rather than visible chain-of-thought.  The model employs scaling-efficient training and decoding to improve parameter efficiency and inference speed, and has been validated on a broad set of public benchmarks where it reaches or approaches larger Qwen3 systems in several categories while outperforming earlier mid-sized baselines. It is best used as a general assistant, code helper, and long-context task solver in production settings where deterministic, instruction-following outputs are preferred.","qwen","https://openrouter.ai/qwen","Sep 11, 2025","262K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/liquid/lfm-2.5-1.2b-thinking:free","LiquidAI: LFM2.5-1.2B-Thinking (free)","LFM2.5-1.2B-Thinking (free)","Free variant","663M tokens","LFM2.5-1.2B-Thinking is a lightweight reasoning-focused model optimized for agentic tasks, data extraction, and RAG—while still running comfortably on edge devices. It supports long context (up to 32K tokens) and is designed to provide higher-quality “thinking” responses in a small 1.2B model.","liquid","https://openrouter.ai/liquid","Jan 20, 2026","33K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/bytedance-seed/seedream-4.5","ByteDance Seed: Seedream 4.5","Seedream 4.5","","549M tokens","Seedream 4.5 is the latest in-house image generation model developed by ByteDance. Compared with Seedream 4.0, it delivers comprehensive improvements, especially in editing consistency, including better preservation of subject details, lighting, and color tone. It also enhances portrait refinement and small-text rendering. The model’s multi-image composition capabilities have been significantly strengthened, and both reasoning performance and visual aesthetics continue to advance, enabling more accurate and artistically expressive image generation.  Pricing is $0.04 per output image, regardless of size.","bytedance-seed","https://openrouter.ai/bytedance-seed","Dec 23, 2025","4K context","$0.04 per image","","",""
"https://openrouter.ai/liquid/lfm-2.5-1.2b-instruct:free","LiquidAI: LFM2.5-1.2B-Instruct (free)","LFM2.5-1.2B-Instruct (free)","Free variant","484M tokens","LFM2.5-1.2B-Instruct is a compact, high-performance instruction-tuned model built for fast on-device AI. It delivers strong chat quality in a 1.2B parameter footprint, with efficient edge inference and broad runtime support.","liquid","https://openrouter.ai/liquid","Jan 20, 2026","33K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/cognitivecomputations/dolphin-mistral-24b-venice-edition:free","Venice: Uncensored (free)","Uncensored (free)","Free variant","127M tokens","Venice Uncensored Dolphin Mistral 24B Venice Edition is a fine-tuned variant of Mistral-Small-24B-Instruct-2501, developed by dphn.ai in collaboration with Venice.ai. This model is designed as an “uncensored” instruct-tuned LLM, preserving user control over alignment, system prompts, and behavior. Intended for advanced and unrestricted use cases, Venice Uncensored emphasizes steerability and transparent behavior, removing default safety and alignment layers typically found in mainstream assistant models.","venice","https://openrouter.ai/venice","Jul 9, 2025","33K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/google/gemma-3-27b-it:free","Google: Gemma 3 27B (free)","Gemma 3 27B (free)","Free variant","124M tokens","Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles context windows up to 128k tokens, understands over 140 languages, and offers improved math, reasoning, and chat capabilities, including structured outputs and function calling. Gemma 3 27B is Google's latest open source model, successor to","google","https://openrouter.ai/google","Mar 12, 2025","131K context","$0/M input","tokens","$0/M output","Gemma 2"
"https://openrouter.ai/nousresearch/hermes-3-llama-3.1-405b:free","Nous: Hermes 3 405B Instruct (free)","Hermes 3 405B Instruct (free)","Free variant","101M tokens","Hermes 3 is a generalist language model with many improvements over Hermes 2, including advanced agentic capabilities, much better roleplaying, reasoning, multi-turn conversation, long context coherence, and improvements across the board.  Hermes 3 405B is a frontier-level, full-parameter finetune of the Llama-3.1 405B foundation model, focused on aligning LLMs to the user, with powerful steering capabilities and control given to the end user.  The Hermes 3 series builds and expands on the Hermes 2 set of capabilities, including more powerful and reliable function calling and structured output capabilities, generalist assistant capabilities, and improved code generation skills.  Hermes 3 is competitive, if not superior, to Llama-3.1 Instruct models at general capabilities, with varying strengths and weaknesses attributable between the two.","nousresearch","https://openrouter.ai/nousresearch","Aug 16, 2024","131K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/meta-llama/llama-3.2-3b-instruct:free","Meta: Llama 3.2 3B Instruct (free)","Llama 3.2 3B Instruct (free)","Free variant","95.1M tokens","Llama 3.2 3B is a 3-billion-parameter multilingual large language model, optimized for advanced natural language processing tasks like dialogue generation, reasoning, and summarization. Designed with the latest transformer architecture, it supports eight languages, including English, Spanish, and Hindi, and is adaptable for additional languages.  Trained on 9 trillion tokens, the Llama 3.2 3B model excels in instruction-following, complex reasoning, and tool use. Its balanced performance makes it ideal for applications needing accuracy and efficiency in text generation across multilingual settings.  Click here for the .  Usage of this model is subject to .","meta-llama","https://openrouter.ai/meta-llama","Sep 25, 2024","131K context","$0/M input","tokens","$0/M output","original model card"
"https://openrouter.ai/google/lyria-3-pro-preview","Google: Lyria 3 Pro Preview","Lyria 3 Pro Preview","","94.1M tokens","Full-length songs are priced at $0.08 per song. Lyria 3 is Google's family of music generation models, available through the Gemini API. With Lyria 3, you can generate high-quality, 48kHz stereo audio from text prompts or from images. These models deliver structural coherence, including vocals, timed lyrics, and full instrumental arrangements. Lyria 3 Pro can generate full-length songs with verses, choruses, bridges.","google","https://openrouter.ai/google","Mar 30, 2026","1.05M context","$0.08 per song","","",""
"https://openrouter.ai/google/lyria-3-clip-preview","Google: Lyria 3 Clip Preview","Lyria 3 Clip Preview","","59M tokens","30 second duration clips are priced at $0.04 per clip. Lyria 3 is Google's family of music generation models, available through the Gemini API. With Lyria 3, you can generate high-quality, 48kHz stereo audio from text prompts or from images. These models deliver structural coherence, including vocals, timed lyrics, and full instrumental arrangements. Lyria 3 Clip can generate short clips, loops, previews.","google","https://openrouter.ai/google","Mar 30, 2026","1.05M context","$0.04 per song","","",""
"https://openrouter.ai/google/gemma-3n-e4b-it:free","Google: Gemma 3n 4B (free)","Gemma 3n 4B (free)","Free variant","51.2M tokens","Gemma 3n E4B-it is optimized for efficient execution on mobile and low-resource devices, such as phones, laptops, and tablets. It supports multimodal inputs—including text, visual data, and audio—enabling diverse tasks such as text generation, speech recognition, translation, and image analysis. Leveraging innovations like Per-Layer Embedding (PLE) caching and the MatFormer architecture, Gemma 3n dynamically manages memory usage and computational load by selectively activating model parameters, significantly reducing runtime resource requirements.  This model supports a wide linguistic range (trained in over 140 languages) and features a flexible 32K token context window. Gemma 3n can selectively load parameters, optimizing memory and computational efficiency based on the task or device capabilities, making it well-suited for privacy-focused, offline-capable applications and on-device AI solutions.","google","https://openrouter.ai/google","May 20, 2025","8K context","$0/M input","tokens","$0/M output","Read more in the blog post"
"https://openrouter.ai/google/gemma-3n-e2b-it:free","Google: Gemma 3n 2B (free)","Gemma 3n 2B (free)","Free variant","42.8M tokens","Gemma 3n E2B IT is a multimodal, instruction-tuned model developed by Google DeepMind, designed to operate efficiently at an effective parameter size of 2B while leveraging a 6B architecture. Based on the MatFormer architecture, it supports nested submodels and modular composition via the Mix-and-Match framework. Gemma 3n models are optimized for low-resource deployment, offering 32K context length and strong multilingual and reasoning performance across common benchmarks. This variant is trained on a diverse corpus including code, math, web, and multimodal data.","google","https://openrouter.ai/google","Jul 9, 2025","8K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/google/gemma-3-12b-it:free","Google: Gemma 3 12B (free)","Gemma 3 12B (free)","Free variant","40.3M tokens","Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles context windows up to 128k tokens, understands over 140 languages, and offers improved math, reasoning, and chat capabilities, including structured outputs and function calling. Gemma 3 12B is the second largest in the family of Gemma 3 models after","google","https://openrouter.ai/google","Mar 13, 2025","33K context","$0/M input","tokens","$0/M output","Gemma 3 27B"
"https://openrouter.ai/sourceful/riverflow-v2-fast-preview","Sourceful: Riverflow V2 Fast Preview","Riverflow V2 Fast Preview","","18.3M tokens","Riverflow V2 Fast Preview is the fastest variant of Sourceful's Riverflow V2 preview lineup. This preview version exceeds the performance of Riverflow 1 Family and is Sourceful's first unified text-to-image and image-to-image model family.  Pricing is $0.03 per output image, regardless of size.  Sourceful imposes a 4.5MB request size limit, therefore it is highly recommended to pass image URLs instead of Base64 data.","sourceful","https://openrouter.ai/sourceful","Dec 9, 2025","8K context","$0.03 per image","","",""
"https://openrouter.ai/sourceful/riverflow-v2-max-preview","Sourceful: Riverflow V2 Max Preview","Riverflow V2 Max Preview","","11M tokens","Riverflow V2 Max Preview is the most powerful variant of Sourceful's Riverflow V2 preview lineup. This preview version exceeds the performance of Riverflow 1 Family and is Sourceful's first unified text-to-image and image-to-image model family.  Pricing is $0.075 per output image, regardless of size.  Sourceful imposes a 4.5MB request size limit, therefore it is highly recommended to pass image URLs instead of Base64 data.","sourceful","https://openrouter.ai/sourceful","Dec 9, 2025","8K context","$0.075 per image","","",""
"https://openrouter.ai/sourceful/riverflow-v2-standard-preview","Sourceful: Riverflow V2 Standard Preview","Riverflow V2 Standard Preview","","8.4M tokens","Riverflow V2 Standard Preview is the standard variant of Sourceful's Riverflow V2 preview lineup. This preview version exceeds the performance of Riverflow 1 Family and is Sourceful's first unified text-to-image and image-to-image model family.  Pricing is $0.035 per output image, regardless of size.  Sourceful imposes a 4.5MB request size limit, therefore it is highly recommended to pass image URLs instead of Base64 data.","sourceful","https://openrouter.ai/sourceful","Dec 9, 2025","8K context","$0.035 per image","","",""
"https://openrouter.ai/cohere/rerank-4-pro","Cohere: Rerank 4 Pro","Rerank 4 Pro","","","Cohere's AI search foundation model for enhancing the relevance of information surfaced within search and RAG systems. Features a 32K context window, multilingual support across 100+ languages, no data pre-processing required, and state of the art performance with low latency.","cohere","https://openrouter.ai/cohere","Apr 6, 2026","33K context","$0.0025 per search","","",""
"https://openrouter.ai/cohere/rerank-4-fast","Cohere: Rerank 4 Fast","Rerank 4 Fast","","","Cohere's AI search foundation model for enhancing the relevance of information surfaced within search and RAG systems. Features a 32K context window, multilingual support across 100+ languages, no data pre-processing required, and high performance with lowest latency.","cohere","https://openrouter.ai/cohere","Apr 6, 2026","33K context","$0.002 per search","","",""
"https://openrouter.ai/cohere/rerank-v3.5","Cohere: Rerank v3.5","Rerank v3.5","","","Rerank v3.5 is designed to reorder search results for improved relevance. It supports multi-aspect and semi-structured data reranking over 100+ languages. Ideal for refining results from semantic or keyword search pipelines.","cohere","https://openrouter.ai/cohere","Apr 5, 2026","4K context","$0.001 per search","","",""
"https://openrouter.ai/alibaba/wan-2.6","Alibaba: Wan 2.6 (experimental)","Wan 2.6 (experimental)","","","Video generation is API-only and currently in alpha. If you’re interested in trying it, please read about the capabilities and limitations here:","alibaba","https://openrouter.ai/alibaba","Mar 28, 2026","","","","","https://openrouter.notion.site/video-generation-testing"
"https://openrouter.ai/bytedance/seedance-1-5-pro","ByteDance: Seedance 1.5 Pro (experimental)","Seedance 1.5 Pro (experimental)","","","Video generation is API-only and currently in alpha. If you’re interested in trying it, please read about the capabilities and limitations here:","bytedance","https://openrouter.ai/bytedance","Mar 23, 2026","","","","","https://openrouter.notion.site/video-generation-testing"
"https://openrouter.ai/openai/sora-2-pro","OpenAI: Sora 2 Pro (experimental)","Sora 2 Pro (experimental)","","","Video generation is API-only and currently in alpha. If you’re interested in trying it, please read about the capabilities and limitations here:","openai","https://openrouter.ai/openai","Mar 23, 2026","","","","","https://openrouter.notion.site/video-generation-testing"
"https://openrouter.ai/google/veo-3.1","Google: Veo 3.1 (experimental)","Veo 3.1 (experimental)","","","Video generation is API-only and currently in alpha. If you’re interested in trying it, please read about the capabilities and limitations here:","google","https://openrouter.ai/google","Mar 23, 2026","","","","","https://openrouter.notion.site/video-generation-testing"
"https://openrouter.ai/black-forest-labs/flux.2-klein-4b","Black Forest Labs: FLUX.2 Klein 4B","FLUX.2 Klein 4B","","","FLUX.2 [klein] 4B is the fastest and most cost-effective model in the FLUX.2 family, optimized for high-throughput use cases while maintaining excellent image quality.  Pricing is based on the output image. The first generated megapixel is charged $0.014. Each subsequent megapixel is charged $0.001.","black-forest-labs","https://openrouter.ai/black-forest-labs","Jan 14, 2026","41K context","$0.014 per megapixel","","",""
"https://openrouter.ai/black-forest-labs/flux.2-max","Black Forest Labs: FLUX.2 Max","FLUX.2 Max","","","FLUX.2 [max] is the new top-tier image model from Black Forest Labs, pushing image quality, prompt understanding, and editing consistency to the highest level yet.  Pricing is as follows, : Input: We charge $0.03 for each megapixel on the input (i.e. reference images for editing) Output: The first generated megapixel is charged $0.07. Each subsequent megapixel is charged $0.03.","black-forest-labs","https://openrouter.ai/black-forest-labs","Dec 16, 2025","47K context","$0.07 per megapixel","","","per the docs"
"https://openrouter.ai/black-forest-labs/flux.2-flex","Black Forest Labs: FLUX.2 Flex","FLUX.2 Flex","","","FLUX.2 [flex] excels at rendering complex text, typography, and fine details, and supports multi-reference editing in the same unified architecture.  Pricing is as follows, : We charge $0.06 for each megapixel on both input and output side.","black-forest-labs","https://openrouter.ai/black-forest-labs","Nov 25, 2025","67K context","","","","per the docs"
"https://openrouter.ai/black-forest-labs/flux.2-pro","Black Forest Labs: FLUX.2 Pro","FLUX.2 Pro","","","A high-end image generation and editing model focused on frontier-level visual quality and reliability. It delivers strong prompt adherence, stable lighting, sharp textures, and consistent character/style reproduction across multi-reference inputs. Designed for production workloads, it balances speed and quality while supporting text-to-image and image editing up to 4 MP resolution.  Pricing is as follows, : Input: We charge $0.015 for each megapixel on the input (i.e. reference images for editing) Output: The first megapixel is charged $0.03 and then each subsequent MP will be charged $0.015.","black-forest-labs","https://openrouter.ai/black-forest-labs","Nov 25, 2025","47K context","$0.03 per megapixel","","","per the docs"
